District,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total_District_Wise
Badin*,109,156,151,195,196,133,109,121,197,211,175,40,77,1870
Tando Allahyar,,26,23,22,20,178,,13,86,130,73,74,37,682
Mirpurkhas,,7,,36,34,49,6,66,101,71,58,67,49,544
Thatta*,40,40,40,40,40,40,40,42,45,41,29,,1,438
Umerkot,,,,16,,4,1,49,106,77,51,9,59,372
Sanghar,,,11,,,9,,13,166,34,34,,90,357
Hyderabad,,,,,10,51,,5,36,16,15,28,17,178
Tharparkar,,,29,6,,3,,12,20,25,18,15,25,153
Tando M. Khan,,,,,20,7,,,7,6,17,9,22,88
Ghotki,,,11,,,3,,1,3,2,6,21,22,69
Karachi,,,,,,2,,4,2,31,3,3,6,51
Rahim Yar Khan,,,,,,,,2,8,3,8,6,21,48
Matiari,,,,6,,,,12,1,1,19,1,2,42
Sajawal,,,,,1,,,,,,22,,10,33
Sukkur,,,,,,,,,4,,3,14,4,25
Jamshoro,,,,,14,,,1,,,1,,1,17
Nawabshah,,,,,,,1,,,,,5,8,14
Khairpur,,,,,,,,,,2,7,1,4,14
Naushahro Feroz,,,,,,,,,2,1,2,4,2,11
Sahiwal,,,,,7,,,1,,,1,1,,10
Jacobabad,,,,,,,,,1,1,2,3,2,9
Gujarat,,,7,,,,,,,,,,,7
Kashmore,,,,,,,,,1,1,2,,1,5
Shikarpur,,,,,,,,,,,,3,2,5
Bahawalpur,,,,,,2,,,,,,,,2
Qamber,,,,,,,,,2,,,,,2
Shaheed Benazirabad,,,,,,,1,,,,,,1,2
Balochistan (Dists.),,,,,,,,,,,,,1,1
Gujranwala,,,,,,,,1,,,,,,1
Khanewal,,,,,,,,1,,,,,,1
Lahore,,,,,,,1,,,,,,,1
Multan,,,,,,,,,,,,,1,1
Islamabad,,,,,,,,,,,1,,,1
Sadiqabad,,,,,,,,,,,,1,,1
