,COUNTRY,COMMODITY,VARIABLE,TIME_PERIOD,value
0,ARG,BD,NT,2004,0.0
1,ARG,BD,NT,2005,0.0
2,ARG,BD,NT,2006,0.0
3,ARG,BD,NT,2007,459.090909090909
4,ARG,BD,NT,2008,1400.0
5,ARG,BD,NT,2009,1790.25100406157
6,ARG,BD,NT,2010,1767.78889393648
7,ARG,BD,NT,2011,1999.54437866921
8,ARG,BD,NT,2012,2225.72261537746
9,ARG,BD,NT,2013,2452.35697033705
10,ARG,BD,NT,2014,2678.9288123645
11,ARG,BD,NT,2015,2906.22978391127
12,ARG,BD,NT,2016,2918.27428052393
13,ARG,BD,NT,2017,2930.88528375849
14,ARG,BD,NT,2018,2943.74369243041
15,ARG,BD,NT,2019,2956.73320650286
16,ARG,BD,QC,2004,0.0
17,ARG,BD,QC,2005,0.0
18,ARG,BD,QC,2006,0.0
19,ARG,BD,QC,2007,0.0
20,ARG,BD,QC,2008,0.0
21,ARG,BD,QC,2009,209.748995938428
22,ARG,BD,QC,2010,532.21110606352
23,ARG,BD,QC,2011,564.074406688012
24,ARG,BD,QC,2012,600.731705709256
25,ARG,BD,QC,2013,637.879334462651
26,ARG,BD,QC,2014,675.896874106724
27,ARG,BD,QC,2015,714.111632557634
28,ARG,BD,QC,2016,753.319020810191
29,ARG,BD,QC,2017,792.791702667444
30,ARG,BD,QC,2018,832.774124040256
31,ARG,BD,QC,2019,902.838664179425
32,ARG,BD,QP,2004,0.0
33,ARG,BD,QP,2005,0.0
34,ARG,BD,QP,2006,0.0
35,ARG,BD,QP,2007,459.090909090909
36,ARG,BD,QP,2008,1400.0
37,ARG,BD,QP,2009,2000.0
38,ARG,BD,QP,2010,2300.0
39,ARG,BD,QP,2011,2563.61878535722
40,ARG,BD,QP,2012,2826.45432108672
41,ARG,BD,QP,2013,3090.2363047997
42,ARG,BD,QP,2014,3354.82568647123
43,ARG,BD,QP,2015,3620.34141646891
44,ARG,BD,QP,2016,3671.59330133412
45,ARG,BD,QP,2017,3723.67698642594
46,ARG,BD,QP,2018,3776.51781647067
47,ARG,BD,QP,2019,3859.57187068228
48,ARG,BT,EX,2000,6.037061
49,ARG,BT,EX,2001,2.308039
50,ARG,BT,EX,2002,3.988542
51,ARG,BT,EX,2003,0.557886
52,ARG,BT,EX,2004,3.900081
53,ARG,BT,EX,2005,1.668375
54,ARG,BT,EX,2006,15.89
55,ARG,BT,EX,2007,18.8
56,ARG,BT,EX,2008,21.6
57,ARG,BT,EX,2009,14.0
58,ARG,BT,EX,2010,17.2699661129212
59,ARG,BT,EX,2011,19.5946852122675
60,ARG,BT,EX,2012,21.0998475804403
61,ARG,BT,EX,2013,21.7998195283053
62,ARG,BT,EX,2014,22.1914076836355
63,ARG,BT,EX,2015,22.7484086493902
64,ARG,BT,EX,2016,23.3792992110799
65,ARG,BT,EX,2017,25.1919985770251
66,ARG,BT,EX,2018,25.9729841600882
67,ARG,BT,EX,2019,27.0747175140324
68,ARG,BT,FO,2000,43.6929978
69,ARG,BT,FO,2001,41.0
70,ARG,BT,FO,2002,41.862
71,ARG,BT,FO,2003,36.4
72,ARG,BT,FO,2004,35.2
73,ARG,BT,FO,2005,30.3
74,ARG,BT,FO,2006,31.456
75,ARG,BT,FO,2007,29.8
76,ARG,BT,FO,2008,28.6
77,ARG,BT,FO,2009,36.383
78,ARG,BT,FO,2010,26.4973080632628
79,ARG,BT,FO,2011,23.5182493804125
80,ARG,BT,FO,2012,22.6387490897742
81,ARG,BT,FO,2013,22.3895385689606
82,ARG,BT,FO,2014,22.5360592675149
83,ARG,BT,FO,2015,22.3755900609265
84,ARG,BT,FO,2016,22.2382378165374
85,ARG,BT,FO,2017,21.2953775738205
86,ARG,BT,FO,2018,21.1312514897352
87,ARG,BT,FO,2019,20.6781537804243
88,ARG,BT,IM,2000,0.106491
89,ARG,BT,IM,2001,1.009959
90,ARG,BT,IM,2002,0.898731
91,ARG,BT,IM,2003,1.634559
92,ARG,BT,IM,2004,0.077496
93,ARG,BT,IM,2005,0.004574
94,ARG,BT,IM,2006,0.01
95,ARG,BT,IM,2007,0.002
96,ARG,BT,IM,2008,0.0
97,ARG,BT,IM,2009,0.0
98,ARG,BT,IM,2010,0.0
99,ARG,BT,IM,2011,0.0
100,ARG,BT,IM,2012,0.0
101,ARG,BT,IM,2013,0.0
102,ARG,BT,IM,2014,0.0
103,ARG,BT,IM,2015,0.0
104,ARG,BT,IM,2016,0.0
105,ARG,BT,IM,2017,0.0
106,ARG,BT,IM,2018,0.0
107,ARG,BT,IM,2019,0.0
108,ARG,BT,NT,2000,5.93057
109,ARG,BT,NT,2001,1.29808
