"COUNTRY","Country","INDICATOR","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","1985","1985","HA","Hectares","3","Thousands",,,101435,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","1986","1986","HA","Hectares","3","Thousands",,,101441,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","1987","1987","HA","Hectares","3","Thousands",,,102550,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","1988","1988","HA","Hectares","3","Thousands",,,103051,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","1989","1989","HA","Hectares","3","Thousands",,,104050,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","1990","1990","HA","Hectares","3","Thousands",,,105151,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","1991","1991","HA","Hectares","3","Thousands",,,106154,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","1992","1992","HA","Hectares","3","Thousands",,,106177,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","1993","1993","HA","Hectares","3","Thousands",,,106180,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","1994","1994","HA","Hectares","3","Thousands",,,106190,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","1995","1995","HA","Hectares","3","Thousands",,,106195,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","1996","1996","HA","Hectares","3","Thousands",,,106310,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","1997","1997","HA","Hectares","3","Thousands",,,106310,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","1998","1998","HA","Hectares","3","Thousands",,,106325,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","1999","1999","HA","Hectares","3","Thousands",,,106326,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2000","2000","HA","Hectares","3","Thousands",,,106330,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2001","2001","HA","Hectares","3","Thousands",,,106550,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2002","2002","HA","Hectares","3","Thousands",,,106550,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2003","2003","HA","Hectares","3","Thousands",,,106550,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2004","2004","HA","Hectares","3","Thousands",,,106570,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2005","2005","HA","Hectares","3","Thousands",,,106570,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2006","2006","HA","Hectares","3","Thousands",,,106570,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2007","2007","HA","Hectares","3","Thousands",,,106700,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2008","2008","HA","Hectares","3","Thousands",,,103355,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2009","2009","HA","Hectares","3","Thousands",,,102682,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2010","2010","HA","Hectares","3","Thousands",,,101807,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2011","2011","HA","Hectares","3","Thousands",,,101322,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2012","2012","HA","Hectares","3","Thousands",,,100512,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2013","2013","HA","Hectares","3","Thousands",,,99486,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2014","2014","HA","Hectares","3","Thousands",,,98748,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2015","2015","HA","Hectares","3","Thousands",,,98680,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2016","2016","HA","Hectares","3","Thousands",,,98338,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2017","2017","HA","Hectares","3","Thousands",,,96946,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2018","2018","HA","Hectares","3","Thousands",,,96516,,
"MEX","Mexico","TOTAGR_LAND","Total Agricultural Land area","2019","2019","HA","Hectares","3","Thousands",,,96106,,
